latitude,longitude,timestamp
41.48882,-74.07918,
41.48749,-74.07944,
41.48706,-74.07952,
41.48611,-74.07961,
41.48588,-74.07963,
41.48572,-74.07964,
41.48528,-74.07965,
41.48471,-74.07965,
41.48425,-74.07964,
41.48373,-74.07959,
41.48299,-74.07952,
41.48253,-74.07946,
41.48185,-74.07932,
41.48136,-74.0792,
41.48041,-74.07892,
41.47944,-74.07857,
41.47897,-74.07837,
41.47833,-74.07806,
41.47766,-74.07772,
41.47716,-74.07743,
41.47137,-74.0739,
41.46531,-74.07019,
41.4649,-74.06993,
41.46088,-74.06748,
41.4595,-74.06663,
41.45857,-74.06607,
41.4581,-74.06581,
41.45758,-74.06555,
41.45697,-74.06529,
41.45678,-74.06522,
41.45606,-74.06498,
41.4558,-74.0649,
41.45515,-74.06474,
41.45473,-74.06467,
41.45433,-74.06461,
41.45403,-74.06457,
41.45345,-74.06453,
41.45287,-74.06453,
41.45227,-74.06454,
41.45205,-74.06455,
41.45156,-74.06462,
41.45072,-74.06477,
41.44997,-74.06496,
41.44823,-74.06544,
41.44458,-74.06642,
41.44437,-74.06647,
41.44365,-74.06664,
41.44273,-74.06684,
41.44201,-74.06698,
41.44094,-74.06717,
41.44042,-74.06725,
41.43944,-74.06738,
41.43807,-74.06753,
41.43518,-74.06779,
41.43502,-74.06781,
41.43435,-74.06787,
41.4337,-74.06792,
41.4324,-74.06804,
41.43054,-74.0682,
41.42385,-74.0688,
41.41943,-74.0692,
41.41899,-74.06926,
41.41852,-74.06933,
41.41804,-74.06944,
41.41757,-74.06958,
41.41709,-74.06976,
41.41661,-74.06997,
41.41614,-74.07022,
41.41547,-74.07064,
41.41508,-74.07093,
41.41477,-74.07118,
41.41422,-74.07168,
41.41399,-74.07191,
41.41326,-74.07269,
41.41216,-74.07393,
41.40953,-74.07687,
41.40904,-74.07744,
41.40883,-74.07766,
41.40702,-74.0797,
41.40625,-74.08057,
41.40587,-74.08098,
41.39943,-74.08822,
41.39883,-74.0889,
41.39719,-74.09065,
41.39652,-74.09132,
41.39497,-74.09272,
41.39367,-74.09375,
41.39334,-74.094,
41.39181,-74.09516,
41.38878,-74.09746,
41.3874,-74.09851,
41.38645,-74.09924,
41.3855,-74.09995,
41.38355,-74.10144,
41.38296,-74.10188,
41.38241,-74.10225,
41.38159,-74.10267,
41.38115,-74.10287,
41.38068,-74.10305,
41.37988,-74.10327,
41.37959,-74.10334,
41.37932,-74.10338,
41.37893,-74.10344,
41.37811,-74.10349,
41.37778,-74.10349,
41.37753,-74.10348,
41.37705,-74.10344,
41.37645,-74.10335,
41.37591,-74.10323,
41.37549,-74.10311,
41.37446,-74.10277,
41.37425,-74.10269,
41.37369,-74.10249,
41.37353,-74.10243,
41.3725,-74.10206,
41.37195,-74.10191,
41.37148,-74.10181,
41.37076,-74.10169,
41.37028,-74.10166,
41.36953,-74.10164,
41.36884,-74.10169,
41.36821,-74.10179,
41.36773,-74.10189,
41.36702,-74.10209,
41.36655,-74.10226,
41.36609,-74.10244,
41.36469,-74.10303,
41.36394,-74.10337,
41.36341,-74.10364,
41.36224,-74.10422,
41.36089,-74.10495,
41.35994,-74.10549,
41.35899,-74.10606,
41.3585,-74.10638,
41.35793,-74.10678,
41.35707,-74.1074,
41.35612,-74.10817,
41.35557,-74.10865,
41.35468,-74.10947,
41.35337,-74.11078,
41.35213,-74.11204,
41.351,-74.11318,
41.35045,-74.11374,
41.34985,-74.11431,
41.34942,-74.1147,
41.34876,-74.11522,
41.34831,-74.11553,
41.34766,-74.11591,
41.34696,-74.11629,
41.34639,-74.11655,
41.34555,-74.11686,
41.34509,-74.117,
41.34496,-74.11704,
41.34496,-74.11704,
41.34496,-74.11704,
41.34465,-74.11712,
41.34416,-74.11722,
41.34347,-74.11735,
41.34326,-74.11737,
41.34294,-74.1174,
41.34257,-74.11743,
41.34236,-74.11745,
41.34204,-74.11747,
41.34152,-74.11747,
41.34106,-74.11746,
41.34058,-74.11742,
41.33985,-74.11733,
41.33917,-74.1172,
41.33872,-74.1171,
41.33832,-74.11699,
41.33767,-74.11678,
41.33722,-74.11661,
41.33687,-74.11647,
41.33651,-74.11632,
41.3351,-74.11568,
41.33495,-74.11561,
41.33152,-74.11406,
41.3313,-74.11395,
41.33098,-74.11381,
41.33067,-74.11368,
41.33036,-74.11356,
41.33005,-74.11344,
41.32973,-74.11333,
41.32942,-74.11323,
41.32911,-74.11314,
41.32878,-74.11305,
41.32847,-74.11297,
41.32815,-74.1129,
41.32783,-74.11284,
41.3275,-74.11278,
41.32719,-74.11274,
41.32686,-74.11269,
41.32653,-74.11266,
41.3262,-74.11264,
41.32588,-74.11263,
41.32555,-74.11263,
41.32523,-74.11264,
41.32491,-74.11266,
41.32457,-74.11268,
41.32426,-74.1127,
41.32395,-74.11273,
41.32363,-74.11277,
41.32326,-74.11282,
41.32294,-74.11288,
